# Frequency (Hz), Power (W m^-2 Hz^-1)
1.773919869822485000e+14,1.955210637753936038e-12
1.774970148016577812e+14,1.971452986919370660e-12
1.776021670616113438e+14,1.997157162372644399e-12
1.777074439834024688e+14,1.944572901697213988e-12
1.778128457888493438e+14,1.993660010486321105e-12
1.779183727002967188e+14,2.019234127130710254e-12
1.780240249406175625e+14,1.872676904767230774e-12
1.781298027332145000e+14,1.975233647605638013e-12
1.782357063020213750e+14,1.921927581780593639e-12
1.783417358715050625e+14,1.833020568082469612e-12
1.784478916666666562e+14,1.935435587242158309e-12
1.785541739130434688e+14,2.003186832105029354e-12
1.786605828367103750e+14,1.964359986000714859e-12
1.787671186642814375e+14,1.991475460700215857e-12
1.788737816229116875e+14,1.981230545833144655e-12
1.789805719402985000e+14,1.998987913164913620e-12
1.790874898446833750e+14,2.016698655574584726e-12
1.791945355648535312e+14,2.019331498359442449e-12
1.793017093301435312e+14,1.971971384550307985e-12
1.794090113704368438e+14,2.037791118781247458e-12
1.795164419161676562e+14,2.062237843221526578e-12
1.796240011983223438e+14,1.999187400371493154e-12
1.797316894484412188e+14,1.991502561949040774e-12
1.798395068986202812e+14,1.952872125021904083e-12
1.799474537815125938e+14,1.655746906881826966e-12
1.800555303303303125e+14,1.958360842086294653e-12
1.801637367788461562e+14,2.040980757694711618e-12
1.802720733613950625e+14,2.051166567872764733e-12
1.803805403128760312e+14,2.018571179399050120e-12
1.804891378687537500e+14,2.059948007898184212e-12
1.805978662650602188e+14,2.052688703729832373e-12
1.807067257383966250e+14,2.030753412749295956e-12
1.808157165259348438e+14,2.061958258736449016e-12
1.809248388654194062e+14,2.035293287031257370e-12
1.810340929951690625e+14,2.021677541200853434e-12
1.811434791540785312e+14,2.031113964014398551e-12
1.812529975816202812e+14,1.969527813404832939e-12
1.813626485178463438e+14,2.030400487693389607e-12
1.814724322033898125e+14,2.036683784486666984e-12
1.815823488794669688e+14,1.896197797444257760e-12
1.816923987878787812e+14,2.045649694096040485e-12
1.818025821710127188e+14,1.983397736676884726e-12
1.819128992718446562e+14,1.961787214807118477e-12
1.820233503339405000e+14,2.060114591408433661e-12
1.821339356014580625e+14,1.965523551763267064e-12
1.822446553191489062e+14,1.969725254062262595e-12
1.823555097323600938e+14,2.015383031417021189e-12
1.824664990870358750e+14,1.939095953341161998e-12
1.825776236297198438e+14,1.985930328107186827e-12
1.826888836075563750e+14,1.972553517673883181e-12
1.828002792682926562e+14,1.929867948846132082e-12
1.829118108602806562e+14,1.973662270916768707e-12
1.830234786324786250e+14,1.969554194321993396e-12
1.831352828344532500e+14,2.029095618542878905e-12
1.832472237163814062e+14,2.101521824941974127e-12
1.833593015290520000e+14,2.083616412224752733e-12
1.834715165238677812e+14,2.073498313022938732e-12
1.835838689528475000e+14,2.069626880440068157e-12
1.836963590686274375e+14,2.116311515214969501e-12
1.838089871244635000e+14,2.112387789488687579e-12
1.839217533742331250e+14,2.096061465962562588e-12
1.840346580724370625e+14,2.136509145170023403e-12
1.841477014742014688e+14,2.132914377185566424e-12
1.842608838352796562e+14,2.126056555498804248e-12
1.843742054120540938e+14,2.114007537707970481e-12
1.844876664615384375e+14,2.094760627700647976e-12
1.846012672413793125e+14,2.135026296892365163e-12
1.847150080098582812e+14,2.130376866718908559e-12
1.848288890258939375e+14,2.084576074825738880e-12
1.849429105490438125e+14,2.053608320927139180e-12
1.850570728395061562e+14,2.052738618261037511e-12
1.851713761581222812e+14,2.107123725574177387e-12
1.852858207663782500e+14,2.126527320710649580e-12
1.854004069264069062e+14,2.046538388400685546e-12
1.855151349009900938e+14,2.007857742705455062e-12
1.856300049535603750e+14,2.097072615482541429e-12
1.857450173482032188e+14,2.071362804197028975e-12
1.858601723496590000e+14,2.058469359859613482e-12
1.859754702233250312e+14,2.000183785277214062e-12
1.860909112352575938e+14,1.963420983726015004e-12
1.862064956521739062e+14,1.881438124770970972e-12
1.863222237414543125e+14,1.962607694653879740e-12
1.864380957711442812e+14,1.982852262414153224e-12
1.865541120099564375e+14,2.006746010401636078e-12
1.866702727272727188e+14,2.076862021658997367e-12
1.867865781931464062e+14,2.035007834486616766e-12
1.869030286783042500e+14,1.960298249797864844e-12
1.870196244541484688e+14,1.919712495669253832e-12
1.871363657927590312e+14,1.918687789403961876e-12
1.872532529668956875e+14,1.908598245089941475e-12
1.873702862499999688e+14,2.033193243307008631e-12
1.874874659161976250e+14,2.064084540845920556e-12
1.876047922403003438e+14,2.165336903972414902e-12
1.877222654978083750e+14,2.100609850165076843e-12
1.878398859649122812e+14,2.077588143728418759e-12
1.879576539184952812e+14,2.191327894412874502e-12
1.880755696361355000e+14,2.171715129137771865e-12
1.881936333961079688e+14,2.186682315303609386e-12
1.883118454773869062e+14,2.132537116727600222e-12
1.884302061596480000e+14,2.043060281289665028e-12
1.885487157232704375e+14,2.038974906433436943e-12
1.886673744493391875e+14,1.956736669906486441e-12
1.887861826196473438e+14,2.111908586039212798e-12
1.889051405166981562e+14,2.125715631145064037e-12
1.890242484237074375e+14,2.145356182509434258e-12
1.891435066246056562e+14,2.168210304009716296e-12
