# Frequency (Hz), Power (W m^-2 Hz^-1)
1.391148296983758594e+14,1.294504190462323182e-12
1.394383525581395312e+14,1.285466636055267317e-12
1.397633836829836719e+14,1.352594184674252466e-12
1.400899336448597969e+14,1.365512817537258020e-12
1.404180131147540781e+14,1.348328898837742317e-12
1.407476328638497812e+14,1.338131634385545249e-12
1.410788037647058750e+14,1.315001758233024311e-12
1.414115367924528125e+14,1.293499272753553027e-12
1.417458430260047188e+14,1.347492215097686206e-12
1.420817336492890938e+14,1.311605617510231146e-12
1.424192199524940625e+14,1.356403686696481341e-12
1.427583133333333125e+14,1.248437977715904079e-12
1.430990252983293438e+14,1.294502143629644224e-12
1.434413674641148125e+14,1.278976304000282958e-12
1.437853515587530000e+14,1.215847046342306718e-12
1.441309894230769375e+14,1.234281681629228816e-12
1.444782930120481875e+14,1.095893865432065169e-12
1.448272743961352500e+14,9.249642414286486298e-13
1.451779457627118438e+14,8.671188267518059418e-13
1.455303194174757188e+14,9.647709189535383950e-13
1.458844077858880625e+14,7.619385216488670137e-13
1.462402234146341250e+14,9.376941363881809865e-13
1.465977789731051250e+14,1.250398343576742069e-12
1.469570872549019688e+14,1.226356369512137439e-12
1.473181611793611875e+14,1.309643552807455736e-12
1.476810137931034375e+14,1.147228040006263378e-12
1.480456582716049375e+14,9.954866405445062100e-13
1.484121079207920625e+14,6.021259400728487211e-13
1.487803761786600312e+14,3.549468105698644073e-13
1.491504766169154062e+14,5.265334163276382637e-13
1.495224229426433750e+14,1.977478321852913876e-13
1.498962289999999688e+14,5.002260597229568035e-13
1.502719087719298125e+14,1.059246976369899372e-12
1.506494763819095625e+14,1.111233600146138096e-12
1.510289460957178750e+14,1.072811730390495669e-12
1.514103323232323125e+14,9.707614912714050432e-13
1.517936496202531562e+14,8.682296679057884109e-13
1.521789126903553125e+14,6.220858614795440354e-13
1.525661363867684375e+14,3.620987678415846251e-13
1.529553357142856875e+14,2.763894427257407577e-13
1.533465258312020625e+14,1.260356561404889941e-13
1.537397220512820625e+14,2.090539749335521889e-13
1.541349398457583438e+14,1.351096319941444634e-13
1.545321948453608125e+14,4.062103697085001580e-14
1.549315028423772500e+14,4.424741175443447248e-14
1.553328797927460938e+14,6.768355813674273655e-15
1.557363418181818125e+14,1.141207941095035805e-14
1.561419052083333125e+14,5.465920240061544005e-15
1.565495864229764688e+14,2.406508752965360840e-16
1.569594020942408438e+14,2.765470524278499586e-16
1.573713690288713750e+14,6.754417315928609220e-18
1.577855042105263125e+14,1.022529926353250803e-17
1.582018248021108125e+14,1.526403695419182579e-15
1.586203481481481250e+14,2.616110762866489872e-15
1.590410917771883125e+14,5.111771058129821854e-16
1.594640734042553125e+14,8.974513001257690620e-16
1.598893109333333438e+14,5.194531111252971375e-21
1.603168224598930312e+14,3.050008055906464161e-21
1.607466262734584375e+14,1.931055146824274175e-16
1.611787408602150312e+14,1.260166191372299689e-16
1.616131849056603750e+14,3.190316744892895425e-18
1.620499772972972812e+14,3.350435520295844247e-17
1.624891371273712500e+14,6.960145890327904684e-17
1.629306836956521562e+14,6.926876966331156334e-19
1.633746365122615625e+14,7.051806967071868525e-17
1.638210153005464375e+14,5.685453714782912028e-17
1.642698400000000000e+14,1.384610528627774852e-14
1.647211307692307500e+14,1.067088109334625266e-14
1.651749079889806875e+14,3.526491748001213346e-14
1.656311922651933750e+14,1.035549027053909386e-13
1.660900044321329688e+14,1.574172093582153919e-13
1.665513655555555312e+14,3.362422146056790291e-13
1.670152969359331250e+14,4.929241902409700710e-13
1.674818201117318438e+14,9.280260382667798372e-13
1.679509568627450938e+14,7.992439430380867735e-13
1.684227292134831250e+14,1.037238505846601501e-12
1.688971594366197188e+14,1.178413838716382842e-12
1.693742700564971562e+14,1.445371247464804760e-12
1.698540838526912188e+14,1.347436251214832080e-12
1.703366238636363438e+14,1.612693698918870479e-12
1.708219133903133750e+14,1.533989666778074949e-12
1.713099759999999688e+14,1.651013015143964256e-12
1.718008355300859688e+14,1.534231479065427174e-12
1.722945160919540312e+14,1.656738742907268098e-12
1.727910420749279375e+14,1.582265473469649724e-12
1.732904381502890000e+14,1.695054286522445165e-12
1.737927292753623125e+14,1.723781836266208016e-12
1.742979406976744062e+14,1.799064284665894097e-12
1.748060979591836562e+14,1.814029966357593011e-12
1.753172269005847812e+14,1.786496430140347579e-12
1.758313536656891250e+14,1.869056588308169356e-12
1.761412796709753125e+14,1.920364610906923190e-12
1.763485047058823438e+14,1.876330057642744531e-12
1.764523001765744375e+14,1.928043781007993422e-12
1.765562179034157812e+14,1.943374547067491479e-12
1.766602581025338750e+14,1.695364499162951109e-12
1.767644209905660312e+14,1.955685867454344313e-12
1.768687067846607500e+14,1.957597001156047050e-12
1.769731157024793438e+14,1.909629034096648231e-12
1.770776479621972812e+14,1.968277272772486027e-12
1.771823037825059062e+14,1.926513386003860063e-12
1.772870833826138125e+14,1.793945018056458733e-12
1.773919869822485000e+14,1.904527401419818643e-12
1.774970148016577812e+14,1.920068460761611520e-12
1.776021670616113438e+14,1.945073113213542324e-12
1.777074439834024688e+14,1.893974514829189180e-12
1.778128457888493438e+14,1.941509672534857672e-12
1.779183727002967188e+14,1.966387982815765568e-12
1.780240249406175625e+14,1.824055602092565091e-12
1.781298027332145000e+14,1.923363214594277758e-12
1.782357063020213750e+14,1.871345573343276351e-12
1.783417358715050625e+14,1.784855117869576239e-12
